;6\J6\˜;.Nº3.N2;®gÎ®g;._ø!._F ;¾'¾Z%;6€ð6€>;e2eh0;d|.dÊ,;~j†~jÔ;6oV)6oæ$;‡ð‡>;6\6'6\„%;®g`&®g®$;6€J6€˜;&€ò7&€@6;‡J‡˜;¾[æ¾[Ô;6€0	6€~;~j+~jl);¾[0=¾[~ ;eJe˜;6oì6o:;®gJ®g˜;~jà~j.;._ö._D;6W¦,6Wô*;._J._˜;6€®36€ü1;¾[ˆ.¾[Ö,;&€œ&€ê;¾f¾´;._Î6._5;dìdÌ?;en#e¼!;¶3’¶0?;6o‚,6oÐ*;‡ø:‡F9;
210,000;2,822495;3,809618;3,779395;3,658543;3,130146;3,208823;3,250879;3,322599;3,01633;3,137279;3,798805;3,644706;3,594811;2,954501;3,426877;3,14047;3,087023;3,578227;3,048365;3,534938;3,456254;3,303754;3,793329;3,087572;3,235991;3,771384;3,556749;2,990695;3,204841;3,354445;3,09267;3,467303;3,416069;3,195525;3,062671;3,268806;3,262151;
211,000;3,31737;3,380317;3,384632;3,116686;3,143734;3,632173;3,404757;3,083885;3,428175;3,073754;3,69733;3,045174;3,412359;3,405505;3,275605;3,087083;2,974669;3,603473;3,487667;3,78019;3,133925;3,302597;3,269553;3,097546;3,241971;3,354568;3,808802;3,084581;3,156112;3,04159;3,004809;3,056111;3,848523;2,934427;3,42078;3,603415;2,922329;
212,000;3,462175;3,559294;3,573674;3,240497;3,537461;3,861465;3,779278;3,473244;3,873579;3,508002;3,808857;2,970445;3,604485;3,124896;3,582402;2,983899;3,042982;3,590877;3,841119;3,712988;3,702444;3,717336;3,193204;3,612583;3,4807;3,228816;3,469847;3,579638;3,347856;3,088645;3,52208;3,231989;3,425688;3,380332;3,323369;3,353858;3,538721;
213,000;3,417825;3,600933;3,540895;3,677602;3,587098;3,112201;3,83146;3,429498;3,245371;3,547592;3,301678;2,951526;3,309002;3,449464;3,5844;3,314172;3,131017;3,347789;3,38953;3,787812;3,07197;3,338741;2,915039;3,603397;3,809198;3,743359;2,95809;3,820144;3,294816;3,577763;3,550146;3,750786;3,177101;3,399433;3,255211;3,292683;3,060483;
214,000;3,45679;3,267138;3,634318;3,7153;3,384898;3,505366;3,057571;2,980002;3,088247;3,655236;2,841722;2,93975;3,537313;3,843115;3,363871;3,349894;3,594111;3,726594;3,330574;3,397233;3,38762;3,16882;3,139647;3,209188;3,553726;3,287447;3,316606;3,335588;3,555096;3,845597;3,634615;3,220643;3,579207;3,689289;3,170412;3,344842;3,398647;
215,000;3,219293;3,257179;3,547401;3,806063;3,465519;3,396204;3,400174;3,64799;3,611912;3,402857;3,513869;3,218976;3,51255;3,346783;3,645801;3,087283;3,775805;3,247731;3,492145;3,205251;3,788795;3,260242;3,755462;3,638522;3,124281;3,285923;3,163709;2,910739;3,802565;3,104398;3,535347;3,214705;3,808272;3,386408;3,097157;3,200485;3,55216;
216,000;3,028064;3,160986;3,321743;3,094703;3,2014;3,537156;3,855554;3,218479;3,731635;3,27388;3,72513;3,100437;3,648596;3,327644;3,71347;2,917884;3,487962;3,502604;3,095001;3,319881;3,724823;3,301263;3,293607;3,352188;3,539614;3,450181;3,074508;3,629997;3,422974;2,872014;3,371146;3,700247;3,310179;3,306362;3,197478;3,382763;3,617621;
217,000;3,560689;3,665479;3,739021;3,104847;3,65764;3,754727;3,064461;3,54512;3,686835;3,73093;3,784161;3,370372;3,359784;3,442887;3,728036;3,575275;3,261211;3,789593;3,610866;3,709229;3,375511;3,729545;3,601252;3,355356;3,753938;3,333918;3,671016;3,125557;3,680018;3,365068;3,445035;3,475706;3,371903;3,491838;3,312248;3,346577;3,519428;
218,000;3,678687;3,079108;2,889225;3,200889;3,008537;3,436785;2,93986;3,360498;3,661011;3,00851;2,872854;2,901931;3,130625;3,060737;3,309906;3,33724;3,013116;3,197386;3,167644;3,082324;2,839314;2,932591;3,312791;3,054939;3,431701;3,678885;3,131539;3,479718;3,074984;3,086649;3,055946;3,321886;2,970634;2,742758;3,660056;3,684258;3,091306;
219,000;3,762625;3,491231;3,438809;3,35629;2,960211;3,326783;2,9876;2,971838;3,740111;3,287511;3,057181;2,871912;3,578138;2,974925;3,12995;3,131866;3,027765;2,952005;3,544143;3,299853;3,232056;3,053041;3,300609;3,069843;3,260538;3,241022;3,061153;3,762162;2,84687;3,563796;3,623578;3,653826;2,776834;2,999388;3,327345;3,10486;3,207914;
220,000;2,790753;3,723203;3,754295;3,0492;3,187095;3,609825;3,621701;3,087617;3,07863;3,000513;3,206348;3,270615;3,698095;3,571645;3,560722;3,372421;3,158815;3,105514;3,43944;3,073227;3,616051;3,341448;3,375673;2,776608;2,842245;3,582189;3,623573;3,144711;2,983785;3,434169;3,026976;3,372777;3,543849;3,641265;2,907924;3,063761;2,84902;
221,000;3,227128;3,330658;3,019667;2,785191;3,124741;3,647061;2,985468;3,626912;3,58639;3,292609;3,147378;3,643139;3,246628;3,640193;3,732244;3,023731;3,167803;3,579725;3,17827;3,533796;3,68331;3,367687;3,187816;3,539428;3,558502;3,392678;3,377963;2,91594;3,561574;3,288342;3,528169;3,623206;3,653327;3,250784;3,550055;3,618241;3,572456;
222,000;3,373428;3,658608;2,917993;3,61201;3,601553;3,649496;2,764588;3,222555;3,230888;3,094656;3,309648;3,354338;2,787249;3,700754;2,87546;3,609704;3,080423;3,685883;3,054057;3,72556;3,127757;3,052544;3,063827;3,438993;3,286558;3,345341;3,364648;3,157632;3,690656;3,660809;3,664024;3,352874;3,674607;2,941679;3,672264;3,383358;3,230324;
223,000;3,164948;2,958385;3,011463;2,917933;3,37529;3,37093;2,917852;3,141517;3,270154;2,98658;3,360899;3,597812;2,661798;2,872034;3,587463;3,072643;2,754095;3,175824;3,006317;2,866861;2,805593;3,281028;2,897412;2,899429;2,644932;3,136761;2,871977;3,009267;3,171321;3,048593;3,627015;3,620223;3,162097;3,100575;3,36589;3,183878;3,282007;
224,000;3,135636;3,555444;3,293396;3,099937;3,149596;3,041153;3,114992;3,150208;3,652436;3,579261;3,008556;3,636678;3,590942;3,561601;3,167142;3,297284;3,566692;3,317454;3,312345;3,561428;3,586709;3,615052;3,579727;3,61539;3,555693;3,610067;3,265261;3,577341;3,331879;3,574261;3,62002;3,332433;3,598356;3,620118;3,044007;2,840003;3,615159;
225,000;3,326748;3,661914;3,609139;3,330473;3,3063;3,122166;3,600027;3,300644;2,949098;3,655282;3,611668;3,618688;3,17811;3,63216;3,621639;3,169209;3,633083;3,153478;3,165657;3,635496;3,351704;3,623512;3,62906;2,952291;3,642035;3,333986;3,630157;3,647617;3,012391;3,633541;3,646794;3,625088;3,351259;3,325642;3,116343;3,312777;3,623001;
226,000;3,152566;3,145538;3,645152;3,156581;3,624593;3,624933;3,646955;3,635847;3,310629;3,037508;3,170051;3,642341;3,152633;3,63938;3,036786;3,025008;3,635747;3,325;3,026985;3,632928;3,157299;3,639514;3,639513;3,316395;3,621143;3,620811;3,337177;3,328105;3,629236;3,632436;3,041915;3,165221;3,154751;3,634632;3,636384;3,035102;3,640758;
227,000;3,164909;3,640582;2,745077;2,944221;3,347209;3,171842;2,743636;2,870341;3,344965;2,941272;2,796805;2,803767;2,798432;2,870197;3,16262;3,038358;3,045484;3,04346;2,942682;3,169744;2,797982;2,947796;2,870827;3,045173;3,647243;3,348071;3,04185;3,343386;2,746945;3,171312;2,795046;2,942743;2,942801;2,802976;2,694773;2,941664;2,869746;
228,000;2,213237;2,2603;2,17246;2,139736;2,196234;2,18251;2,272842;2,201885;2,211853;2,199125;2,140985;2,115249;2,201143;2,170571;2,164842;2,287003;2,233079;2,18318;2,183131;2,287365;2,185228;2,289682;2,128333;2,139373;2,225688;2,165094;2,182761;2,149284;2,188092;2,1526;2,200819;2,168221;2,288615;2,272014;2,204096;2,183385;2,201763;
229,000;1,735439;1,73314;1,7441;1,747055;1,737167;1,720243;1,718465;1,716497;1,731628;1,751103;1,724596;1,70868;1,712215;1,712606;1,711522;1,738124;1,727328;1,730269;1,708825;1,754499;1,706911;1,719212;1,751647;1,74171;1,733313;1,727365;1,719096;1,739494;1,737526;1,747845;1,738068;1,730186;1,741664;1,693406;1,715652;1,73458;1,727605;
230,000;1,497685;1,50596;1,526181;1,496369;1,509314;1,506137;1,512117;1,498106;1,503401;1,506275;1,509701;1,504588;1,517785;1,507843;1,510956;1,517327;1,495002;1,509445;1,508497;1,506679;1,495832;1,496045;1,502235;1,48763;1,506137;1,506728;1,502106;1,508056;1,50672;1,50237;1,495555;1,509814;1,495714;1,50951;1,520429;1,49506;1,516895;
231,000;1,433262;1,428457;1,44452;1,429996;1,438175;1,418805;1,434968;1,415823;1,433312;1,436924;1,420174;1,436111;1,434696;1,432911;1,442271;1,439668;1,429602;1,426007;1,44334;1,439059;1,420698;1,423598;1,426252;1,432876;1,434728;1,439444;1,444934;1,426234;1,429383;1,430565;1,444796;1,42755;1,43963;1,424952;1,427949;1,442455;1,434966;
232,000;1,43388;1,439821;1,438934;1,441977;1,440315;1,441699;1,435224;1,430758;1,438083;1,450433;1,426816;1,443234;1,435218;1,435389;1,429312;1,438687;1,448773;1,440938;1,441469;1,443737;1,429969;1,436534;1,434256;1,448751;1,428546;1,426818;1,428361;1,440776;1,44802;1,428926;1,44005;1,435313;1,447108;1,439643;1,442496;1,446217;1,435133;
233,000;1,488323;1,475807;1,49206;1,471671;1,478172;1,482384;1,473961;1,484318;1,482925;1,486379;1,476132;1,48388;1,482239;1,485276;1,474061;1,49027;1,488946;1,483382;1,481769;1,475108;1,486217;1,486103;1,485524;1,49135;1,488341;1,492239;1,481633;1,480178;1,48537;1,483774;1,471235;1,496648;1,481153;1,483215;1,471902;1,480524;1,478597;
234,000;1,545216;1,548485;1,540622;1,538323;1,53429;1,54581;1,537699;1,543748;1,545732;1,543401;1,551668;1,542272;1,56126;1,55823;1,550761;1,555147;1,54315;1,559882;1,557176;1,542067;1,548919;1,551187;1,541524;1,544138;1,567461;1,555271;1,535007;1,54543;1,550306;1,549851;1,553281;1,553577;1,542134;1,541805;1,550056;1,547484;1,558173;
235,000;1,655902;1,658875;1,663103;1,660243;1,663437;1,668433;1,673255;1,664191;1,662635;1,672491;1,673569;1,659976;1,670408;1,658777;1,666583;1,689062;1,660092;1,676619;1,665456;1,653102;1,663421;1,672209;1,656182;1,660355;1,675081;1,667511;1,67563;1,65296;1,653444;1,659949;1,663584;1,668272;1,668214;1,680705;1,684607;1,649906;1,685812;
236,000;1,799172;1,81761;1,79856;1,798955;1,79034;1,822667;1,80761;1,787656;1,791474;1,803041;1,806041;1,786027;1,801023;1,805117;1,79917;1,804008;1,78806;1,803157;1,812548;1,817608;1,808949;1,800868;1,802361;1,792017;1,790026;1,800638;1,812972;1,789578;1,793608;1,798834;1,805285;1,800194;1,789281;1,808717;1,812238;1,804517;1,809258;
237,000;2,001618;1,99285;1,998945;1,974174;1,979654;1,990731;1,971354;2,030231;1,975779;1,96407;1,99874;1,98937;1,997662;1,979498;2,002172;1,992916;1,991989;2,010981;1,998436;1,981938;1,977417;1,974765;1,972269;1,981161;1,969592;1,987659;1,997584;1,977404;1,976627;1,982002;2,006658;1,978075;1,976114;1,994426;1,996573;1,985909;1,965707;
238,000;2,234368;2,311162;2,294043;2,225017;2,239614;2,289022;2,244046;2,250249;2,220279;2,242823;2,262912;2,207576;2,289688;2,294708;2,246973;2,263085;2,298003;2,28537;2,259861;2,264503;2,224236;2,291752;2,258379;2,200517;2,376037;2,255987;2,276844;2,288719;2,242191;2,220711;2,251724;2,235055;2,293268;2,26959;2,266458;2,299199;2,264356;
239,000;2,532105;2,595515;2,550028;2,463216;2,575921;2,579357;2,519343;2,579551;2,381851;2,473768;2,492923;2,494601;2,462338;2,554045;2,518528;2,541435;2,521129;2,516854;2,463093;2,625933;2,579541;2,471204;2,54014;2,544031;2,668644;2,501834;2,662011;2,588066;2,469317;2,551959;2,407898;2,544127;2,457823;2,592242;2,478143;2,611945;2,636274;
240,000;2,597196;2,553574;2,687439;2,56249;2,711123;2,559459;2,501551;2,697618;2,608742;2,563846;2,389392;2,708397;2,568432;2,707451;2,514134;2,61997;2,697059;2,640172;2,67739;2,67844;2,515816;2,617404;2,712887;2,57779;2,961772;2,663264;2,689821;2,654724;2,605136;2,573846;2,567474;2,613854;2,510925;2,617902;2,608353;2,674047;2,631744;
241,000;2,815565;2,807864;3,068043;2,807805;2,768261;2,904768;2,83174;2,82905;2,803558;2,719214;3,142596;2,919545;3,088939;3,021923;3,105765;3,074389;2,991865;2,779899;3,007781;2,968683;3,195974;2,804153;3,175856;2,780049;3,357063;2,925008;2,810087;2,983654;3,09823;2,837841;3,054102;2,712371;2,86953;3,055023;2,838811;3,019591;3,067735;
242,000;2,951747;2,76189;3,09651;3,257911;2,70302;3,071694;2,860832;2,992892;2,721577;2,7837;3,504064;2,906327;3,182873;2,830905;3,470373;3,312809;3,190587;3,110346;2,920509;3,152026;3,452442;2,848432;3,133867;2,915766;3,336109;3,248614;2,935422;3,104693;3,105217;2,872562;3,351247;2,823704;2,774417;3,315949;3,013611;2,876826;3,339188;
243,000;3,155155;3,252915;3,576407;3,036009;3,259356;3,348875;2,923939;2,955523;3,296404;3,258015;2,815187;3,030758;3,130291;3,145019;2,904884;3,394891;3,689773;3,694526;3,340122;3,136857;3,054739;3,186969;2,946095;2,914461;3,548005;3,536304;3,401437;3,359472;2,995328;2,948407;3,682094;3,174691;3,05162;3,366363;3,022639;3,196135;3,29406;
244,000;3,910354;3,777721;3,504972;3,4072;3,613772;3,529616;3,74485;3,453078;3,427835;3,546376;3,016113;3,15202;3,58199;3,911179;3,613001;3,38226;3,525923;3,541552;3,688523;3,337967;3,972734;3,345448;3,164402;3,147734;3,391829;3,19591;3,661995;3,729501;3,140513;3,185101;3,415861;3,755682;3,512171;3,420335;3,341575;3,96369;3,857704;
245,000;3,555671;3,16263;3,010469;3,564861;3,025662;3,392314;3,465097;3,781889;2,828514;2,836073;3,332957;3,023746;3,172847;3,559874;3,228432;2,865135;3,486595;3,018258;2,981394;3,161347;3,348624;3,021888;3,042764;3,45801;3,544586;3,227248;3,076208;3,321036;2,941597;3,240296;3,117913;3,365887;3,570865;3,199464;3,336762;3,247181;3,716395;
246,000;3,571692;3,010312;3,609223;3,001581;3,035797;3,580412;3,170914;3,831078;3,248667;3,426593;3,708129;3,452896;3,396137;3,546011;3,060392;3,380626;3,571413;3,49122;2,9493;3,360257;2,936836;3,25555;3,017309;3,601555;3,533818;3,273564;3,508324;3,248859;3,117109;3,664243;3,471592;3,592134;3,78075;3,127083;3,529361;3,264664;3,795484;
247,000;3,745021;3,631741;3,448009;3,449908;3,484324;3,219137;3,726605;3,20506;3,348648;3,789015;3,207968;3,785683;3,570009;3,838818;3,121843;3,68001;3,161227;3,601896;3,234935;3,053434;3,04551;3,104482;3,514544;3,625985;3,280631;3,866995;3,441012;3,315564;3,110948;3,542073;3,600655;3,79954;3,697928;3,590946;3,503055;3,689579;3,467159;
248,000;3,759286;3,293857;3,481045;3,829158;3,590407;3,711996;3,249647;3,407775;3,391564;3,679393;3,586463;3,671608;3,062472;3,288389;3,239209;3,223613;3,371904;3,421523;3,20202;3,383747;3,448049;3,177937;3,427911;3,315886;3,325482;3,403023;3,108929;3,597188;3,344944;3,588793;3,56161;3,439564;3,782054;3,367162;3,281362;3,235624;3,222959;
249,000;3,307006;3,502375;3,544226;3,265554;3,273235;3,157627;3,307683;3,204619;3,532725;3,716007;3,242979;3,757467;3,245982;2,979994;3,582728;3,143017;3,224016;3,070231;3,333774;3,264479;3,736612;3,60682;2,954615;3,440755;3,56327;3,189428;2,716281;3,675415;3,411688;3,449647;3,35098;3,096023;3,260839;3,19003;3,372292;3,239466;3,698503;
250,000;2,75185;3,039687;3,38948;3,25703;2,981408;3,312282;3,820474;3,094791;3,781056;3,486538;2,96129;3,288699;3,453047;3,60786;3,694577;3,24091;3,000307;3,108307;3,24229;3,396788;3,644752;3,657652;3,43132;3,374781;3,51064;3,11888;3,282411;3,766574;3,220939;3,093105;3,358879;3,570856;2,9858;3,422621;3,57091;2,988416;3,088401;
251,000;3,476673;3,364354;3,013765;3,11529;2,976458;3,702591;3,154278;3,232531;3,122719;3,236716;3,401376;3,545498;2,977461;3,177217;3,523681;3,014357;3,26403;3,606264;3,300406;3,300379;3,681207;3,727985;3,799255;3,452937;3,661862;3,591317;3,494007;3,01501;2,798093;3,479124;3,399477;3,290705;3,564215;3,225698;3,502323;2,971355;3,402574;
252,000;3,152716;3,073176;3,382587;3,411112;3,577301;3,675411;2,977583;2,84791;3,186319;2,952192;2,915715;3,071908;3,117809;3,106232;2,831408;3,577689;3,28962;3,486102;3,164509;3,12255;3,411925;3,090549;2,966738;3,500354;3,683169;2,959677;3,520234;2,909351;3,458803;3,720444;2,963049;3,511027;3,382803;3,068188;3,124274;3,584133;3,144155;
253,000;3,104533;3,349095;3,654544;3,644478;3,191555;3,09659;3,514129;2,964263;3,156981;3,141254;3,326616;3,10181;3,546371;3,583319;3,344623;3,121582;3,582186;2,905274;3,459245;3,608962;3,276309;3,159376;3,405287;3,007117;3,189912;2,769318;3,405602;3,48513;3,127673;3,18265;2,938271;3,119007;3,572243;2,916333;3,45065;3,124115;2,801796;
254,000;3,534412;3,417453;3,546218;3,56449;3,54277;2,848404;3,414492;3,572645;3,442721;3,554656;3,74322;3,347323;3,616987;3,369133;3,628323;3,394165;3,112546;3,411399;3,598687;3,138519;3,284629;3,261413;3,173034;3,221981;3,468563;2,923515;3,263432;3,702115;2,949738;3,469317;2,882336;2,855366;3,005851;3,484072;3,661892;3,258021;3,02273;
255,000;3,579944;3,089599;3,603924;3,545984;2,766788;3,438877;2,835815;2,940578;3,579821;3,334919;2,667418;3,03825;3,218874;3,037569;3,540393;3,588072;3,096963;3,405112;3,558233;2,807912;3,220548;3,527146;2,87954;3,085845;3,259972;3,401525;3,200876;2,774027;3,449964;3,337593;3,128382;2,718917;2,73192;3,198353;3,125165;2,647091;3,430638;
256,000;3,298804;2,952543;3,125103;3,546842;3,076976;3,539389;2,936663;3,410305;3,523554;3,082636;2,896309;3,490161;2,761868;2,678135;3,51041;3,530072;3,567736;2,886412;3,331006;3,124388;3,464363;3,134863;3,155847;3,420981;2,693925;3,609764;3,550553;3,424278;3,620671;3,231397;3,473282;3,397668;3,220536;3,047781;3,40417;3,39995;3,629125;
257,000;2,962855;2,82329;3,140423;3,2747;3,066475;3,535166;3,443186;3,114901;3,494202;2,900355;3,17218;3,074191;3,47208;3,45853;3,569718;3,300103;2,885639;3,455584;2,810786;3,487759;3,539439;3,165694;3,461573;3,540578;3,412273;3,054306;2,757986;2,825991;2,820663;2,95332;3,575329;3,308967;2,778307;2,779894;3,582331;2,841972;2,799096;
258,000;2,685023;2,757259;3,248004;2,981796;3,1769;3,07489;3,506727;3,162123;3,521015;3,118552;3,479906;3,424241;2,775754;2,741325;2,848389;2,770828;3,109677;2,975161;3,157969;3,260036;3,224203;3,155025;3,509849;3,25169;3,223796;3,409822;2,599566;3,339297;2,925261;2,946554;2,909769;2,962744;3,081659;2,795352;3,007797;3,114156;3,104813;
